Client_Num,Card_Category,Annual_Fees,Gender,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Current Week Revenue,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Spending by Category,Interest_Earned,Delinquent_Acc
708216108,Blue,300,Female,1,93,01-01-2023,Week-1,Q1,2023,4088,835767,1557,2250,39,0.381,Swipe ,Bills,11166448,157.5,1
708217758,Blue,475,Female,0,96,01-01-2023,Week-1,Q1,2023,14035,835767,2061,1606,30,0.147,Swipe ,Bills,11166448,385.44,1
708219108,Blue,300,Male,1,95,01-01-2023,Week-1,Q1,2023,9959,835767,1143,7300,77,0.115,Swipe ,Grocery,7032033,803,1
708219858,Blue,390,Female,1,79,01-01-2023,Week-1,Q1,2023,6423,835767,0,4295,70,0,Swipe ,Food,6808437,901.95,0
708222558,Blue,125,Female,1,109,01-01-2023,Week-1,Q1,2023,2310,835767,1513,4191,77,0.655,Chip ,Food,6808437,712.47,0
708223383,Blue,295,Female,0,81,01-01-2023,Week-1,Q1,2023,11410,835767,979,2736,38,0.086,Chip ,Bills,11166448,793.44,0
708224133,Blue,430,Male,1,105,01-01-2023,Week-1,Q1,2023,2228,835767,1480,4431,71,0.664,Swipe ,Grocery,7032033,841.89,0
708225483,Blue,200,Female,1,68,01-01-2023,Week-1,Q1,2023,11242,835767,1561,4246,81,0.139,Swipe ,Entertainment,7821312,806.74,0
708226833,Gold,415,Male,0,96,01-01-2023,Week-1,Q1,2023,34516,835767,831,13247,107,0.024,Swipe ,Food,6808437,1192.23,0
708229308,Blue,245,Male,1,72,01-01-2023,Week-1,Q1,2023,3243,835767,0,6059,71,0,Swipe ,Fuel,7705253,727.08,0
708231183,Blue,460,Female,0,92,01-01-2023,Week-1,Q1,2023,12539,835767,910,2643,72,0.073,Swipe ,Grocery,7032033,290.73,0
708234558,Blue,200,Male,0,88,01-01-2023,Week-1,Q1,2023,2239,835767,1340,4540,73,0.598,Chip ,Entertainment,7821312,635.6,0
708238833,Blue,365,Female,1,61,01-01-2023,Week-1,Q1,2023,3032,835767,2215,1387,30,0.731,Swipe ,Fuel,7705253,152.57,0
708241233,Blue,95,Female,0,73,01-01-2023,Week-1,Q1,2023,2972,835767,0,922,25,0,Swipe ,Bills,11166448,138.3,0
708242283,Blue,295,Female,1,59,01-01-2023,Week-1,Q1,2023,5346,835767,0,3253,80,0,Swipe ,Food,6808437,325.3,0
708243483,Blue,250,Female,0,119,01-01-2023,Week-1,Q1,2023,14938,835767,1155,2248,51,0.077,Swipe ,Bills,11166448,427.12,0
708244458,Blue,405,Male,1,91,01-01-2023,Week-1,Q1,2023,2793,835767,1517,3485,72,0.543,Swipe ,Food,6808437,383.35,0
708245808,Gold,455,Male,0,78,01-01-2023,Week-1,Q1,2023,19671,835767,924,13908,124,0.047,Swipe ,Travel,4999538,2503.44,0
708248358,Silver,200,Female,1,67,01-01-2023,Week-1,Q1,2023,29937,835767,0,14863,109,0,Online ,Bills,11166448,1932.19,0
708249708,Blue,300,Female,1,92,01-01-2023,Week-1,Q1,2023,4844,835767,1576,1489,48,0.325,Swipe ,Fuel,7705253,253.13,0
708252108,Blue,475,Female,1,162,01-01-2023,Week-1,Q1,2023,7362,835767,1907,4065,65,0.259,Chip ,Fuel,7705253,243.9,0
708253458,Blue,125,Male,1,113,01-01-2023,Week-1,Q1,2023,5528,835767,1823,4857,81,0.33,Swipe ,Food,6808437,1408.53,0
708254733,Blue,325,Male,1,73,01-01-2023,Week-1,Q1,2023,2968,835767,1873,5171,85,0.631,Swipe ,Fuel,7705253,1241.04,0
708255633,Blue,200,Female,0,110,01-01-2023,Week-1,Q1,2023,3761,835767,1710,3240,65,0.455,Swipe ,Fuel,7705253,550.8,0
708260208,Blue,150,Female,1,86,01-01-2023,Week-1,Q1,2023,2057,835767,1279,4321,76,0.622,Chip ,Food,6808437,1123.46,0
708266883,Blue,355,Female,0,136,01-01-2023,Week-1,Q1,2023,1666,835767,0,2312,35,0,Swipe ,Food,6808437,184.96,0
708267858,Blue,140,Female,0,115,01-01-2023,Week-1,Q1,2023,6088,835767,2145,2098,52,0.352,Swipe ,Entertainment,7821312,482.54,0
708269583,Blue,335,Female,1,102,01-01-2023,Week-1,Q1,2023,2029,835767,1377,4014,86,0.679,Chip ,Entertainment,7821312,1003.5,0
708271833,Silver,195,Female,1,63,01-01-2023,Week-1,Q1,2023,15069,835767,1843,3464,67,0.122,Online ,Bills,11166448,831.36,0
708272808,Blue,150,Female,0,76,01-01-2023,Week-1,Q1,2023,2718,835767,1474,3542,59,0.542,Chip ,Fuel,7705253,566.72,0
708273858,Blue,355,Female,1,112,01-01-2023,Week-1,Q1,2023,34516,835767,0,3734,80,0,Swipe ,Fuel,7705253,522.76,0
708276183,Blue,375,Female,0,91,01-01-2023,Week-1,Q1,2023,1760,835767,0,1554,35,0,Swipe ,Bills,11166448,279.72,0
708281433,Blue,335,Female,0,81,01-01-2023,Week-1,Q1,2023,1438,835767,0,3848,75,0,Swipe ,Food,6808437,269.36,0
708285108,Blue,420,Male,1,80,01-01-2023,Week-1,Q1,2023,6128,835767,2239,13505,116,0.365,Swipe ,Fuel,7705253,1620.6,1
708286683,Blue,250,Male,0,67,01-01-2023,Week-1,Q1,2023,12045,835767,1749,4884,86,0.145,Swipe ,Bills,11166448,1123.32,1
708288108,Blue,360,Male,1,118,01-01-2023,Week-1,Q1,2023,5639,835767,1547,647,15,0.274,Swipe ,Bills,11166448,135.87,1
708290208,Silver,355,Female,1,109,01-01-2023,Week-1,Q1,2023,13608,835767,1190,3118,76,0.087,Chip ,Entertainment,7821312,841.86,1
708291633,Blue,390,Male,1,100,01-01-2023,Week-1,Q1,2023,4651,835767,2499,5097,79,0.537,Swipe ,Entertainment,7821312,1223.28,1
708292833,Blue,150,Female,1,59,01-01-2023,Week-1,Q1,2023,27389,835767,1250,2754,60,0.046,Online ,Bills,11166448,247.86,1
708295533,Blue,250,Male,0,106,01-01-2023,Week-1,Q1,2023,3549,835767,1880,1215,22,0.53,Swipe ,Travel,4999538,230.85,1
708296883,Blue,280,Female,0,93,01-01-2023,Week-1,Q1,2023,11749,835767,788,1178,27,0.067,Swipe ,Travel,4999538,259.16,1
708298233,Blue,125,Female,0,72,01-01-2023,Week-1,Q1,2023,6184,835767,0,1756,49,0,Swipe ,Fuel,7705253,456.56,1
708300483,Blue,245,Female,0,110,01-01-2023,Week-1,Q1,2023,7882,835767,605,704,16,0.077,Swipe ,Travel,4999538,197.12,1
708301683,Blue,125,Male,0,89,01-01-2023,Week-1,Q1,2023,20798,835767,1059,8038,90,0.051,Swipe ,Food,6808437,2009.5,0
708303108,Blue,175,Male,0,88,01-01-2023,Week-1,Q1,2023,1770,835767,1706,4940,94,0.964,Swipe ,Grocery,7032033,1037.4,0
708307533,Blue,345,Male,0,89,01-01-2023,Week-1,Q1,2023,3086,835767,0,4129,81,0,Swipe ,Food,6808437,371.61,0
708313608,Blue,245,Female,1,61,01-01-2023,Week-1,Q1,2023,2464,835767,2116,2110,43,0.859,Swipe ,Food,6808437,274.3,0
708314808,Blue,100,Female,1,111,01-01-2023,Week-1,Q1,2023,5659,835767,1393,1570,40,0.246,Swipe ,Fuel,7705253,298.3,0
708316008,Blue,345,Female,1,108,01-01-2023,Week-1,Q1,2023,10031,835767,0,1792,29,0,Swipe ,Fuel,7705253,394.24,0
708319908,Blue,300,Male,0,92,01-01-2023,Week-1,Q1,2023,4116,835767,1473,8667,70,0.358,Online ,Travel,4999538,1820.07,0
708323208,Blue,290,Female,1,118,01-01-2023,Week-1,Q1,2023,1522,835767,0,2241,36,0,Swipe ,Food,6808437,403.38,0
708324483,Blue,290,Male,1,70,01-01-2023,Week-1,Q1,2023,1548,835767,0,4420,71,0,Chip ,Bills,11166448,707.2,0
708330858,Blue,250,Female,1,133,01-01-2023,Week-1,Q1,2023,8249,835767,1381,678,11,0.167,Swipe ,Travel,4999538,122.04,0
708331758,Silver,250,Female,0,120,01-01-2023,Week-1,Q1,2023,32444,835767,1843,3725,60,0.057,Swipe ,Fuel,7705253,409.75,0
708332808,Blue,470,Female,1,111,01-01-2023,Week-1,Q1,2023,3471,835767,0,14381,115,0,Swipe ,Fuel,7705253,3163.82,0
708334158,Blue,200,Female,0,98,01-01-2023,Week-1,Q1,2023,9863,835767,686,3068,58,0.07,Chip ,Entertainment,7821312,306.8,0
708337683,Blue,465,Male,1,98,01-01-2023,Week-1,Q1,2023,21800,835767,893,3820,62,0.041,Chip ,Entertainment,7821312,573,0
708338958,Blue,200,Male,1,54,01-01-2023,Week-1,Q1,2023,3173,835767,1713,3797,75,0.54,Chip ,Bills,11166448,341.73,0
708340758,Blue,300,Male,0,88,01-01-2023,Week-1,Q1,2023,7769,835767,0,8109,74,0,Chip ,Grocery,7032033,1054.17,0
708341958,Blue,175,Male,1,75,01-01-2023,Week-1,Q1,2023,2061,835767,1904,4480,86,0.924,Swipe ,Food,6808437,716.8,0
708344358,Blue,125,Female,1,81,01-01-2023,Week-1,Q1,2023,2495,835767,1354,1311,31,0.543,Swipe ,Travel,4999538,249.09,0
708347583,Blue,465,Female,1,42,01-01-2023,Week-1,Q1,2023,2509,835767,1144,1804,38,0.456,Swipe ,Grocery,7032033,378.84,0
708354858,Blue,200,Male,0,58,01-01-2023,Week-1,Q1,2023,14938,835767,0,8192,80,0,Swipe ,Bills,11166448,491.52,0
708355683,Blue,285,Female,0,46,01-01-2023,Week-1,Q1,2023,16815,835767,0,2976,65,0,Swipe ,Fuel,7705253,624.96,0
708357183,Blue,300,Female,1,139,01-01-2023,Week-1,Q1,2023,1438,835767,0,3511,64,0,Chip ,Fuel,7705253,702.2,0
708358683,Silver,100,Female,0,92,01-01-2023,Week-1,Q1,2023,34516,835767,1236,1665,40,0.036,Swipe ,Bills,11166448,449.55,0
708360108,Blue,245,Male,1,71,01-01-2023,Week-1,Q1,2023,2800,835767,1338,4869,90,0.478,Chip ,Grocery,7032033,779.04,0
708361833,Blue,460,Female,0,76,01-01-2023,Week-1,Q1,2023,19430,835767,0,3650,80,0,Swipe ,Fuel,7705253,511,0
708367908,Blue,190,Male,0,87,01-01-2023,Week-1,Q1,2023,3022,835767,1627,4390,82,0.538,Chip ,Bills,11166448,614.6,1
708369633,Gold,250,Male,1,100,01-01-2023,Week-1,Q1,2023,15487,835767,1847,7031,67,0.119,Swipe ,Bills,11166448,1054.65,1
708371733,Blue,300,Male,1,83,01-01-2023,Week-1,Q1,2023,4662,835767,0,4931,81,0,Swipe ,Fuel,7705253,1084.82,1
708373083,Blue,175,Female,1,110,01-01-2023,Week-1,Q1,2023,3356,835767,2517,2032,39,0.75,Swipe ,Fuel,7705253,467.36,1
708375858,Blue,405,Female,0,83,01-01-2023,Week-1,Q1,2023,2776,835767,1341,4318,68,0.483,Swipe ,Grocery,7032033,302.26,1
708376983,Blue,485,Female,1,149,01-01-2023,Week-1,Q1,2023,8513,835767,799,2119,37,0.094,Swipe ,Food,6808437,127.14,1
708378108,Blue,245,Male,0,97,01-01-2023,Week-1,Q1,2023,2147,835767,771,4631,76,0.359,Chip ,Bills,11166448,787.27,0
708382083,Blue,245,Female,1,93,01-01-2023,Week-1,Q1,2023,2292,835767,0,2584,60,0,Swipe ,Bills,11166448,335.92,0
708384033,Blue,420,Female,1,108,01-01-2023,Week-1,Q1,2023,2745,835767,2463,2466,39,0.897,Swipe ,Food,6808437,345.24,0
708385533,Silver,335,Male,1,99,01-01-2023,Week-1,Q1,2023,11059,835767,0,9524,80,0,Chip ,Grocery,7032033,1523.84,0
708386958,Blue,245,Female,1,88,01-01-2023,Week-1,Q1,2023,1561,835767,0,1947,28,0,Swipe ,Bills,11166448,175.23,0
708387933,Blue,195,Male,0,114,01-01-2023,Week-1,Q1,2023,5500,835767,0,14357,110,0,Swipe ,Bills,11166448,1435.7,0
708390633,Blue,475,Male,0,81,01-01-2023,Week-1,Q1,2023,2421,835767,2312,4219,69,0.955,Chip ,Bills,11166448,295.33,0
708393633,Blue,190,Male,0,66,01-01-2023,Week-1,Q1,2023,2685,835767,1647,4625,94,0.613,Chip ,Fuel,7705253,370,0
708394908,Blue,365,Female,1,56,01-01-2023,Week-1,Q1,2023,2337,835767,1442,3945,65,0.617,Chip ,Entertainment,7821312,276.15,0
708396033,Blue,175,Male,0,80,01-01-2023,Week-1,Q1,2023,2490,835767,1059,12257,101,0.425,Swipe ,Bills,11166448,3064.25,0
708397008,Blue,200,Female,1,70,01-01-2023,Week-1,Q1,2023,3805,835767,821,4326,67,0.216,Swipe ,Food,6808437,865.2,0
708398283,Blue,125,Female,1,101,01-01-2023,Week-1,Q1,2023,4394,835767,885,1377,32,0.201,Swipe ,Bills,11166448,275.4,0
708399858,Blue,415,Male,1,68,01-01-2023,Week-1,Q1,2023,2548,835767,2250,4747,77,0.883,Swipe ,Entertainment,7821312,712.05,0
708402333,Blue,395,Male,1,68,01-01-2023,Week-1,Q1,2023,4549,835767,1313,4782,88,0.289,Chip ,Fuel,7705253,1243.32,0
708403308,Silver,425,Male,1,99,01-01-2023,Week-1,Q1,2023,15133,835767,1663,4392,68,0.11,Chip ,Bills,11166448,570.96,0
708404883,Blue,370,Female,0,93,01-01-2023,Week-1,Q1,2023,27804,835767,0,2761,57,0,Chip ,Entertainment,7821312,745.47,0
708406083,Blue,380,Male,1,111,01-01-2023,Week-1,Q1,2023,3436,835767,2493,5211,90,0.726,Online ,Bills,11166448,1094.31,0
708412758,Blue,140,Female,1,47,01-01-2023,Week-1,Q1,2023,1457,835767,0,2200,45,0,Chip ,Food,6808437,374,0
708414033,Blue,245,Female,0,93,01-01-2023,Week-1,Q1,2023,2845,835767,1153,3730,66,0.405,Swipe ,Fuel,7705253,634.1,0
708416433,Blue,125,Female,1,73,01-01-2023,Week-1,Q1,2023,2372,835767,0,2499,41,0,Swipe ,Grocery,7032033,449.82,0
708419733,Blue,365,Male,0,66,01-01-2023,Week-1,Q1,2023,22599,835767,0,4739,55,0,Swipe ,Food,6808437,1374.31,0
708421833,Blue,390,Female,0,85,01-01-2023,Week-1,Q1,2023,3342,835767,2517,1139,30,0.753,Online ,Bills,11166448,193.63,0
708423933,Blue,450,Female,1,57,01-01-2023,Week-1,Q1,2023,6103,835767,0,3203,64,0,Swipe ,Bills,11166448,288.27,0
708426483,Blue,455,Female,0,105,01-01-2023,Week-1,Q1,2023,5816,835767,716,3534,73,0.123,Swipe ,Entertainment,7821312,530.1,0
708427908,Blue,395,Male,1,100,01-01-2023,Week-1,Q1,2023,2035,835767,1343,4643,86,0.66,Chip ,Fuel,7705253,325.01,0
708428958,Gold,345,Male,0,110,01-01-2023,Week-1,Q1,2023,34516,835767,0,9179,113,0,Swipe ,Bills,11166448,2019.38,0
708431433,Blue,225,Female,1,115,01-01-2023,Week-1,Q1,2023,11789,835767,1420,1463,32,0.12,Swipe ,Bills,11166448,365.75,0
708433683,Blue,125,Male,0,121,01-01-2023,Week-1,Q1,2023,3164,835767,2201,4410,86,0.696,Online ,Entertainment,7821312,1146.6,0
708434733,Blue,385,Female,0,89,01-01-2023,Week-1,Q1,2023,6735,835767,2289,1249,28,0.34,Swipe ,Grocery,7032033,262.29,1
708438033,Blue,175,Male,1,78,01-01-2023,Week-1,Q1,2023,3049,835767,2198,2617,48,0.721,Swipe ,Entertainment,7821312,575.74,1
708442158,Blue,275,Female,0,127,01-01-2023,Week-1,Q1,2023,6182,835767,1516,3801,61,0.245,Chip ,Bills,11166448,988.26,1
708445608,Blue,490,Female,0,43,01-01-2023,Week-1,Q1,2023,3305,835767,2517,2027,57,0.762,Swipe ,Entertainment,7821312,222.97,1
708446808,Blue,250,Female,1,87,01-01-2023,Week-1,Q1,2023,2946,835767,1359,2017,48,0.461,Swipe ,Bills,11166448,564.76,1
708447858,Blue,385,Female,0,92,01-01-2023,Week-1,Q1,2023,3850,835767,0,15107,117,0,Chip ,Entertainment,7821312,2417.12,1
708450033,Blue,465,Male,1,77,01-01-2023,Week-1,Q1,2023,2605,835767,2269,5298,79,0.871,Swipe ,Fuel,7705253,370.86,1
708451233,Blue,410,Female,1,83,01-01-2023,Week-1,Q1,2023,5090,835767,1650,3707,72,0.324,Swipe ,Fuel,7705253,593.12,1
708453408,Blue,355,Female,0,93,01-01-2023,Week-1,Q1,2023,16050,835767,0,3721,62,0,Swipe ,Bills,11166448,893.04,1
708455883,Blue,175,Female,1,44,01-01-2023,Week-1,Q1,2023,10244,835767,861,1127,29,0.084,Swipe ,Bills,11166448,202.86,0
708459633,Blue,380,Female,1,92,01-01-2023,Week-1,Q1,2023,5815,835767,1698,1604,42,0.292,Swipe ,Entertainment,7821312,352.88,0
708462258,Silver,270,Female,1,83,01-01-2023,Week-1,Q1,2023,5189,835767,1171,16563,94,0.226,Chip ,Travel,4999538,1821.93,0
708469533,Blue,250,Female,1,66,01-01-2023,Week-1,Q1,2023,5395,835767,1439,3523,79,0.267,Chip ,Fuel,7705253,493.22,0
708472008,Blue,325,Male,0,105,01-01-2023,Week-1,Q1,2023,6680,835767,1839,7632,95,0.275,Swipe ,Bills,11166448,1984.32,0
708473133,Blue,150,Male,1,111,01-01-2023,Week-1,Q1,2023,1677,835767,0,4588,68,0,Chip ,Fuel,7705253,1284.64,0
708474333,Blue,465,Male,0,89,01-01-2023,Week-1,Q1,2023,12294,835767,2517,7906,87,0.205,Online ,Bills,11166448,790.6,0
708476808,Blue,320,Female,0,124,01-01-2023,Week-1,Q1,2023,33791,835767,1960,1047,31,0.058,Swipe ,Bills,11166448,188.46,0
708478233,Blue,395,Female,1,119,01-01-2023,Week-1,Q1,2023,5573,835767,1238,4348,90,0.222,Swipe ,Fuel,7705253,869.6,0
708480333,Blue,460,Female,0,95,01-01-2023,Week-1,Q1,2023,2163,835767,932,2229,57,0.431,Swipe ,Bills,11166448,534.96,0
708482658,Silver,125,Male,1,87,01-01-2023,Week-1,Q1,2023,9959,835767,1946,15594,114,0.195,Chip ,Travel,4999538,2495.04,0
708483708,Blue,250,Male,0,74,01-01-2023,Week-1,Q1,2023,28600,835767,0,4336,66,0,Swipe ,Travel,4999538,1214.08,0
708486033,Blue,395,Female,0,83,01-01-2023,Week-1,Q1,2023,16547,835767,1521,1782,48,0.092,Swipe ,Entertainment,7821312,267.3,0
708488208,Blue,125,Female,0,161,01-01-2023,Week-1,Q1,2023,2515,835767,1922,2231,58,0.764,Swipe ,Bills,11166448,267.72,0
708489258,Blue,250,Female,1,84,01-01-2023,Week-1,Q1,2023,1438,835767,988,3561,72,0.687,Chip ,Bills,11166448,249.27,0
708491508,Blue,465,Female,0,116,01-01-2023,Week-1,Q1,2023,13906,835767,1430,3856,68,0.103,Chip ,Grocery,7032033,964,0
708492558,Blue,95,Female,1,74,01-01-2023,Week-1,Q1,2023,15088,835767,865,1107,21,0.057,Swipe ,Bills,11166448,77.49,0
708494583,Blue,375,Female,1,107,01-01-2023,Week-1,Q1,2023,1902,835767,0,3731,53,0,Swipe ,Fuel,7705253,559.65,0
