Client_Num,Customer_Age,Age_Group,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Income Group,Cust_Satisfaction_Score,Cust Satisfaction Score
708148158,33,26-35,Male,2,Doctorate,Single,NY,91750,no,yes,yes,cellular,Blue-collar,53644,Medium,3,Satisfied
708151008,54,46-60,Female,1,Uneducated,Married,CA,91750,no,yes,no,cellular,Govt,27423,Low,2,Neutral
708152358,46,46-60,Male,3,Graduate,Married,NY,91750,yes,yes,no,cellular,Blue-collar,110014,High,2,Neutral
708153558,44,36-45,Male,4,Graduate,Unknown,IA,91750,no,no,no,telephone,Businessman,109186,High,3,Satisfied
708154833,40,36-45,Female,3,Graduate,Married,NJ,91750,yes,yes,no,cellular,Govt,25835,Low,2,Neutral
708155733,44,36-45,Female,3,Graduate,Married,CA,91750,yes,yes,no,unknown,Selfemployeed,11345,Low,2,Neutral
708158133,51,46-60,Female,2,Uneducated,Single,NY,91750,yes,no,no,cellular,Selfemployeed,23215,Low,2,Neutral
708160008,60,46-60,Male,0,Graduate,Single,CA,91750,no,no,no,cellular,Businessman,103581,High,3,Satisfied
708161133,49,46-60,Female,2,Unknown,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,44555,Medium,3,Satisfied
708162558,43,36-45,Female,5,Graduate,Married,TX,91750,no,yes,no,cellular,Selfemployeed,12381,Low,2,Neutral
708163758,54,46-60,Male,1,Graduate,Single,NY,91750,no,yes,no,unknown,White-collar,123809,High,1,Unsatisfied
708170508,32,26-35,Female,0,Graduate,Married,FL,91750,yes,no,no,unknown,Selfemployeed,14975,Low,1,Unsatisfied
708171858,52,46-60,Female,3,Graduate,Married,NY,91750,no,yes,no,unknown,Businessman,30586,Medium,1,Unsatisfied
708173433,43,36-45,Female,1,Graduate,Single,CA,91750,no,no,no,unknown,Retirees,28367,Low,3,Satisfied
708174708,49,46-60,Female,0,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,15355,Low,1,Unsatisfied
708176208,49,46-60,Female,1,Uneducated,Married,CA,91750,no,no,no,cellular,Govt,53428,Medium,2,Neutral
708177333,42,36-45,Female,3,Graduate,Single,CA,91750,yes,yes,no,unknown,Selfemployeed,7865,Low,2,Neutral
708178608,48,46-60,Female,3,Unknown,Unknown,FL,91750,no,no,no,cellular,Blue-collar,54304,Medium,1,Unsatisfied
708185208,47,46-60,Female,2,Doctorate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,20100,Low,2,Neutral
708186933,47,46-60,Female,4,Unknown,Unknown,CA,91750,no,yes,no,cellular,Blue-collar,24295,Low,1,Unsatisfied
708190158,47,46-60,Female,3,Unknown,Single,NY,91750,no,yes,no,unknown,Govt,32103,Medium,3,Satisfied
708193008,53,46-60,Female,2,Graduate,Married,CA,91750,no,no,yes,telephone,Selfemployeed,14975,Low,2,Neutral
708195633,47,46-60,Female,4,High School,Married,TX,91750,yes,yes,no,unknown,Selfemployeed,27517,Low,3,Satisfied
708197358,42,36-45,Male,1,Uneducated,Married,AK,99504,no,no,yes,cellular,Govt,107887,High,1,Unsatisfied
708204033,53,46-60,Male,2,Graduate,Married,CA,91750,yes,no,yes,cellular,Selfemployeed,51233,Medium,1,Unsatisfied
708205083,54,46-60,Male,2,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,79516,High,1,Unsatisfied
708207783,48,46-60,Male,1,Graduate,Married,NY,91750,no,yes,no,cellular,Blue-collar,73959,High,1,Unsatisfied
708208758,42,36-45,Female,3,Doctorate,Single,FL,91750,yes,yes,no,cellular,Blue-collar,23377,Low,2,Neutral
708211383,44,36-45,Female,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Retirees,44883,Medium,3,Satisfied
708212658,40,36-45,Female,3,High School,Single,TX,91750,no,no,yes,unknown,Retirees,16041,Low,2,Neutral
708216108,58,46-60,Female,1,Unknown,Married,NY,91750,no,yes,no,cellular,Businessman,24221,Low,3,Satisfied
708217758,57,46-60,Female,1,Graduate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,14975,Low,3,Satisfied
708219108,38,36-45,Male,2,Graduate,Married,CA,91750,yes,no,no,cellular,Blue-collar,102561,High,3,Satisfied
708219858,53,46-60,Female,1,Graduate,Unknown,CA,91750,no,yes,no,cellular,White-collar,56697,Medium,2,Neutral
708222558,60,46-60,Female,1,Uneducated,Single,NJ,91750,no,no,no,cellular,Retirees,53022,Medium,3,Satisfied
708223383,51,46-60,Female,3,Uneducated,Married,NY,91750,yes,no,yes,cellular,Businessman,32013,Medium,1,Unsatisfied
708224133,39,36-45,Male,4,Graduate,Single,NJ,91750,yes,no,no,cellular,Selfemployeed,62192,Medium,2,Neutral
708225483,38,36-45,Female,2,Post-Graduate,Married,CA,91750,yes,yes,no,cellular,Selfemployeed,55061,Medium,2,Neutral
708226833,50,46-60,Male,2,High School,Married,NY,91750,no,no,no,unknown,Businessman,127461,High,3,Satisfied
708229308,37,36-45,Male,1,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,100839,High,2,Neutral
708231183,39,36-45,Female,1,Uneducated,Single,CA,91750,no,no,no,unknown,Retirees,31127,Medium,2,Neutral
708234558,62,60+,Male,0,High School,Single,TX,91750,no,yes,no,cellular,Selfemployeed,67827,Medium,3,Satisfied
708238833,38,36-45,Female,2,High School,Married,NY,91750,no,yes,no,cellular,Blue-collar,12994,Low,1,Unsatisfied
708241233,38,36-45,Female,1,Graduate,Married,CA,91750,no,yes,no,unknown,Selfemployeed,5225,Low,1,Unsatisfied
708242283,44,36-45,Female,1,Unknown,Single,TX,91750,no,yes,yes,cellular,Govt,35755,Medium,3,Satisfied
708243483,60,46-60,Female,2,High School,Single,TX,91750,yes,no,no,cellular,Retirees,24156,Low,2,Neutral
708244458,26,26-35,Male,0,Graduate,Single,NY,91750,no,yes,no,cellular,White-collar,37888,Medium,3,Satisfied
708245808,41,36-45,Male,0,High School,Unknown,FL,91750,yes,yes,no,telephone,Businessman,145701,High,1,Unsatisfied
708248358,61,60+,Female,2,Graduate,Married,CA,90094,yes,no,no,unknown,Businessman,186885,High,1,Unsatisfied
708249708,39,36-45,Female,2,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,14975,Low,1,Unsatisfied
708252108,50,46-60,Female,1,Graduate,Single,FL,91750,no,yes,no,cellular,Selfemployeed,49229,Medium,2,Neutral
708253458,45,36-45,Male,2,Unknown,Married,CA,91750,no,yes,no,cellular,Govt,81622,High,2,Neutral
708254733,56,46-60,Male,2,Graduate,Married,CA,91750,no,no,no,unknown,Blue-collar,95152,High,2,Neutral
708255633,47,46-60,Female,3,Graduate,Single,FL,91750,yes,yes,no,telephone,Blue-collar,35666,Medium,2,Neutral
708260208,48,46-60,Female,3,Graduate,Married,TX,91750,no,yes,no,cellular,White-collar,57686,Medium,1,Unsatisfied
708266883,37,36-45,Female,2,Graduate,Married,TX,91750,no,yes,yes,cellular,Selfemployeed,25423,Low,3,Satisfied
708267858,33,26-35,Female,4,High School,Single,NJ,91750,no,no,no,cellular,Selfemployeed,21500,Low,3,Satisfied
708269583,41,36-45,Female,1,High School,Single,NY,91750,no,no,no,cellular,White-collar,47653,Medium,3,Satisfied
708271833,48,46-60,Female,3,Graduate,Married,CA,91750,no,yes,yes,unknown,Govt,37680,Medium,3,Satisfied
708272808,41,36-45,Female,2,Unknown,Single,FL,91750,yes,yes,no,cellular,White-collar,38560,Medium,2,Neutral
708273858,39,36-45,Female,1,Graduate,Single,NY,91750,no,no,no,cellular,White-collar,41203,Medium,1,Unsatisfied
708276183,54,46-60,Female,2,Graduate,Married,TX,91750,no,no,no,cellular,Selfemployeed,14975,Low,2,Neutral
708281433,40,36-45,Female,3,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,43626,Medium,1,Unsatisfied
708285108,44,36-45,Male,4,Unknown,Married,TX,91750,yes,no,no,cellular,White-collar,131861,High,1,Unsatisfied
708286683,38,36-45,Male,1,Graduate,Unknown,FL,91750,yes,no,no,cellular,White-collar,83306,High,2,Neutral
708288108,29,26-35,Male,0,Graduate,Single,NJ,91750,no,no,no,cellular,Selfemployeed,1250,Low,3,Satisfied
708290208,63,60+,Female,2,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,34835,Medium,2,Neutral
708291633,54,46-60,Male,1,Unknown,Single,FL,91750,no,no,no,cellular,Businessman,92894,High,1,Unsatisfied
708292833,41,36-45,Female,2,Graduate,Married,CA,91750,yes,no,no,cellular,Govt,32170,Medium,3,Satisfied
708295533,55,46-60,Male,2,Unknown,Single,FL,91750,no,no,no,cellular,Blue-collar,10119,Low,2,Neutral
708296883,31,26-35,Female,1,Graduate,Single,CA,91750,no,yes,yes,unknown,Selfemployeed,8250,Low,1,Unsatisfied
708298233,44,36-45,Female,4,High School,Married,NJ,91750,no,no,no,unknown,Blue-collar,15092,Low,3,Satisfied
708300483,46,46-60,Female,4,Doctorate,Married,NY,91750,no,yes,no,cellular,Selfemployeed,1250,Low,1,Unsatisfied
708301683,40,36-45,Male,4,High School,Unknown,NY,91750,no,yes,no,cellular,Govt,110415,High,2,Neutral
708303108,36,36-45,Male,3,High School,Married,NJ,91750,yes,yes,no,cellular,Govt,86574,High,1,Unsatisfied
708307533,37,36-45,Male,4,Post-Graduate,Married,NY,91750,yes,no,no,cellular,Govt,51165,Medium,2,Neutral
708313608,59,46-60,Female,1,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,21659,Low,3,Satisfied
708314808,49,46-60,Female,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Selfemployeed,14975,Low,3,Satisfied
708316008,43,36-45,Female,5,Unknown,Single,CA,91750,no,no,no,cellular,Selfemployeed,15806,Low,3,Satisfied
708319908,56,46-60,Male,1,Graduate,Single,TX,91750,yes,yes,no,unknown,Govt,116230,High,3,Satisfied
708323208,45,36-45,Female,5,Doctorate,Married,TX,91750,no,no,yes,unknown,Businessman,24058,Low,1,Unsatisfied
708324483,63,60+,Male,0,Unknown,Unknown,CA,91750,no,no,yes,cellular,Selfemployeed,61485,Medium,2,Neutral
708330858,51,46-60,Female,2,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,1250,Low,3,Satisfied
708331758,42,36-45,Female,3,High School,Single,NY,91750,no,no,yes,telephone,Businessman,41112,Medium,3,Satisfied
708332808,49,46-60,Female,4,Uneducated,Married,TX,91750,no,no,no,cellular,Businessman,166923,High,2,Neutral
708334158,51,46-60,Female,1,Uneducated,Single,NY,91750,yes,yes,no,unknown,White-collar,34512,Medium,2,Neutral
708337683,27,26-35,Male,0,Graduate,Married,MI,91750,no,no,yes,cellular,Selfemployeed,42779,Medium,1,Unsatisfied
708338958,42,36-45,Male,2,High School,Unknown,FL,91750,no,no,no,cellular,Blue-collar,42334,Medium,3,Satisfied
708340758,53,46-60,Male,3,Graduate,Single,NY,91750,yes,no,no,cellular,Businessman,111220,High,2,Neutral
708341958,48,46-60,Male,4,Unknown,Married,TX,91750,no,yes,no,cellular,Blue-collar,64665,Medium,1,Unsatisfied
708344358,44,36-45,Female,4,High School,Single,CA,91750,no,yes,yes,cellular,Selfemployeed,11638,Low,2,Neutral
708347583,39,36-45,Female,0,Graduate,Married,CA,91750,no,yes,no,unknown,Blue-collar,16112,Low,2,Neutral
708354858,41,36-45,Male,2,Graduate,Married,CA,91750,no,no,no,telephone,Businessman,111730,High,1,Unsatisfied
708355683,46,46-60,Female,4,Unknown,Single,NJ,91750,no,no,yes,unknown,Govt,34013,Medium,1,Unsatisfied
708357183,38,36-45,Female,4,Doctorate,Married,CA,91750,no,no,no,unknown,Businessman,38164,Medium,2,Neutral
708358683,56,46-60,Female,1,Graduate,Married,TX,91750,yes,no,no,cellular,Selfemployeed,14975,Low,1,Unsatisfied
708360108,40,36-45,Male,2,Uneducated,Single,TX,91750,no,yes,yes,cellular,Govt,82412,High,2,Neutral
708361833,55,46-60,Female,3,Graduate,Single,CA,91750,no,yes,yes,unknown,White-collar,39861,Medium,2,Neutral
708367908,42,36-45,Male,4,Graduate,Single,TX,91750,no,no,no,cellular,Blue-collar,60037,Medium,3,Satisfied
708369633,47,46-60,Male,2,Uneducated,Married,NY,91750,yes,no,no,telephone,Govt,101602,High,1,Unsatisfied
708371733,50,46-60,Male,1,High School,Unknown,TX,91750,no,yes,no,cellular,Blue-collar,86281,High,2,Neutral
708373083,41,36-45,Female,3,High School,Married,TX,91750,yes,no,no,cellular,Blue-collar,20495,Low,2,Neutral
708375858,45,36-45,Female,4,Post-Graduate,Single,CA,91750,no,no,no,cellular,Govt,57624,Medium,1,Unsatisfied
708376983,43,36-45,Female,4,Graduate,Unknown,TX,91750,no,yes,no,cellular,Govt,21828,Low,3,Satisfied
708378108,42,36-45,Male,2,Uneducated,Single,NJ,91750,yes,no,no,cellular,White-collar,71834,High,1,Unsatisfied
708382083,35,26-35,Female,1,Unknown,Married,TX,91750,no,no,no,cellular,Selfemployeed,30259,Medium,2,Neutral
708384033,45,36-45,Female,1,High School,Unknown,CA,91750,no,no,no,unknown,Blue-collar,28037,Low,3,Satisfied
708385533,54,46-60,Male,1,Post-Graduate,Unknown,NY,91750,no,yes,no,cellular,Govt,119059,High,2,Neutral
708386958,42,36-45,Female,5,Graduate,Married,GA,91750,yes,no,no,cellular,Blue-collar,19006,Low,3,Satisfied
708387933,37,36-45,Male,3,High School,Single,TX,91750,no,yes,yes,unknown,Businessman,165306,High,3,Satisfied
708390633,49,46-60,Male,2,High School,Single,NY,91750,no,no,no,cellular,Retirees,53965,Medium,1,Unsatisfied
708393633,36,36-45,Male,3,Unknown,Single,CA,91750,yes,no,no,cellular,Retirees,71640,High,2,Neutral
708394908,55,46-60,Female,3,Post-Graduate,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,45818,Medium,1,Unsatisfied
708396033,44,36-45,Male,3,Unknown,Single,CA,91750,no,no,no,cellular,White-collar,119585,High,1,Unsatisfied
708397008,45,36-45,Female,3,High School,Married,CA,91750,no,no,no,telephone,White-collar,57821,Medium,1,Unsatisfied
708398283,41,36-45,Female,3,High School,Unknown,TX,91750,no,yes,no,unknown,Govt,12775,Low,3,Satisfied
708399858,45,36-45,Male,3,Unknown,Married,CA,91750,no,yes,no,cellular,White-collar,76565,High,2,Neutral
708402333,57,46-60,Male,3,Unknown,Single,NY,91750,yes,yes,yes,telephone,Govt,78127,High,3,Satisfied
708403308,48,46-60,Male,3,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,60111,Medium,2,Neutral
708404883,49,46-60,Female,3,Unknown,Single,NY,91750,no,no,no,unknown,Blue-collar,32229,Medium,2,Neutral
708406083,57,46-60,Male,2,Unknown,Single,CA,91750,no,yes,yes,unknown,Blue-collar,95876,High,2,Neutral
708412758,62,60+,Female,1,Unknown,Married,CA,91750,yes,yes,no,cellular,White-collar,23378,Low,2,Neutral
708414033,45,36-45,Female,3,Graduate,Single,NY,91750,no,yes,no,cellular,Blue-collar,41115,Medium,3,Satisfied
708416433,53,46-60,Female,4,Unknown,Single,NY,91750,no,yes,no,cellular,Blue-collar,28601,Low,2,Neutral
708419733,44,36-45,Male,3,Graduate,Married,TX,91750,no,yes,no,cellular,Blue-collar,76246,High,3,Satisfied
708421833,54,46-60,Female,2,High School,Single,NY,91750,no,no,no,cellular,Selfemployeed,6550,Low,2,Neutral
708423933,48,46-60,Female,1,Doctorate,Married,IA,91750,no,no,no,cellular,Businessman,35491,Medium,2,Neutral
708426483,60,46-60,Female,1,Uneducated,Married,CT,91750,yes,yes,no,cellular,Businessman,38451,Medium,3,Satisfied
708427908,33,26-35,Male,3,Graduate,Married,FL,91750,no,no,no,cellular,Blue-collar,72412,High,2,Neutral
708428958,57,46-60,Male,3,Graduate,Single,FL,91750,yes,no,no,cellular,White-collar,118175,High,2,Neutral
708431433,41,36-45,Female,2,Graduate,Married,CA,91750,no,no,no,telephone,Blue-collar,14633,Low,3,Satisfied
708433683,62,60+,Male,1,Graduate,Single,FL,91750,no,no,no,cellular,Govt,61002,Medium,2,Neutral
708434733,52,46-60,Female,2,Unknown,Single,FL,91750,no,no,no,cellular,Blue-collar,10627,Low,2,Neutral
708438033,41,36-45,Male,4,High School,Single,TX,91750,no,no,yes,telephone,Selfemployeed,30828,Medium,3,Satisfied
708442158,42,36-45,Female,4,Graduate,Married,CA,91750,yes,no,no,cellular,Businessman,42377,Medium,2,Neutral
708445608,44,36-45,Female,4,Uneducated,Married,FL,91750,no,no,no,cellular,Blue-collar,20389,Low,3,Satisfied
708446808,51,46-60,Female,3,High School,Single,NY,91750,no,yes,no,cellular,Blue-collar,20281,Low,3,Satisfied
708447858,40,36-45,Female,2,High School,Married,MA,91750,yes,yes,no,cellular,Businessman,200276,High,2,Neutral
708450033,38,36-45,Male,2,Unknown,Married,CA,91750,yes,no,no,cellular,Businessman,97684,High,3,Satisfied
708451233,26,26-35,Female,0,Graduate,Single,FL,91750,yes,no,no,cellular,Retirees,40785,Medium,2,Neutral
708453408,42,36-45,Female,3,Graduate,Married,NY,91750,no,yes,no,cellular,Businessman,41039,Medium,2,Neutral
708455883,33,26-35,Female,0,Graduate,Single,TX,91750,no,yes,no,cellular,Selfemployeed,6550,Low,2,Neutral
708459633,45,36-45,Female,5,Uneducated,Married,NY,91750,no,yes,yes,unknown,Selfemployeed,14975,Low,2,Neutral
708462258,54,46-60,Female,4,Graduate,Married,NJ,91750,no,no,no,cellular,Businessman,235349,High,2,Neutral
708469533,57,46-60,Female,3,Uneducated,Single,FL,91750,no,yes,no,unknown,Selfemployeed,38273,Medium,3,Satisfied
708472008,47,46-60,Male,2,Graduate,Married,CA,91750,no,yes,yes,cellular,White-collar,105522,High,2,Neutral
708473133,44,36-45,Male,5,Unknown,Married,CA,91750,yes,no,no,cellular,Govt,69787,Medium,3,Satisfied
708474333,50,46-60,Male,4,Graduate,Married,TX,91750,no,no,no,unknown,Blue-collar,108894,High,3,Satisfied
708476808,55,46-60,Female,1,Doctorate,Married,CA,91750,yes,yes,no,cellular,Selfemployeed,5525,Low,3,Satisfied
708478233,45,36-45,Female,2,Uneducated,Married,NY,91750,no,yes,no,unknown,White-collar,58670,Medium,3,Satisfied
708480333,65,60+,Female,0,Uneducated,Single,FL,91750,no,no,no,cellular,Govt,23891,Low,3,Satisfied
708482658,51,46-60,Male,2,Graduate,Married,TX,91750,yes,no,yes,telephone,Businessman,219668,High,2,Neutral
708483708,39,36-45,Male,2,Unknown,Married,NJ,91750,yes,no,no,cellular,Blue-collar,58122,Medium,3,Satisfied
708486033,59,46-60,Female,0,Doctorate,Single,CA,91750,yes,no,no,cellular,Retirees,15671,Low,3,Satisfied
708488208,45,36-45,Female,3,Uneducated,Married,TX,91750,yes,yes,yes,cellular,Businessman,23898,Low,3,Satisfied
708489258,56,46-60,Female,5,Doctorate,Single,TX,91750,yes,no,no,unknown,Retirees,38817,Medium,3,Satisfied
708491508,46,46-60,Female,3,Graduate,Married,NY,91750,no,yes,no,cellular,Businessman,43716,Medium,2,Neutral
708492558,56,46-60,Female,2,Graduate,Single,CA,91750,no,no,no,cellular,Selfemployeed,6550,Low,2,Neutral
708494583,48,46-60,Female,5,Post-Graduate,Married,CA,91750,no,no,no,cellular,Selfemployeed,41132,Medium,3,Satisfied
708496833,33,26-35,Male,1,Graduate,Single,CA,91750,yes,yes,no,cellular,Govt,117520,High,2,Neutral
708498033,45,36-45,Female,3,High School,Married,FL,91750,no,yes,no,cellular,White-collar,32495,Medium,3,Satisfied
708499608,43,36-45,Female,4,Graduate,Single,NY,91750,no,no,no,cellular,Businessman,48566,Medium,2,Neutral
708500883,40,36-45,Male,4,Unknown,Married,NY,91750,no,yes,no,cellular,Businessman,113841,High,2,Neutral
708501783,35,26-35,Female,2,High School,Single,FL,91750,yes,no,no,cellular,Blue-collar,17340,Low,3,Satisfied
708502908,48,46-60,Female,2,Graduate,Married,NJ,91750,yes,no,no,cellular,Blue-collar,45372,Medium,2,Neutral
708504783,47,46-60,Female,3,Uneducated,Married,IL,91750,no,yes,no,unknown,Retirees,37815,Medium,2,Neutral
708506508,52,46-60,Male,1,Uneducated,Single,VA,91750,no,no,yes,cellular,Selfemployeed,83535,High,2,Neutral
708507483,55,46-60,Male,4,Unknown,Single,NY,91750,no,no,no,cellular,Blue-collar,78913,High,3,Satisfied
708508758,34,26-35,Female,4,Uneducated,Single,TX,91750,yes,no,no,cellular,Selfemployeed,1250,Low,3,Satisfied
708510858,55,46-60,Female,2,High School,Single,CA,90025,no,no,no,unknown,Businessman,214404,High,2,Neutral
708511983,48,46-60,Male,3,Graduate,Single,CA,91750,yes,yes,no,cellular,Retirees,45977,Medium,3,Satisfied
708513183,40,36-45,Female,5,High School,Single,CA,91750,no,no,no,unknown,Selfemployeed,34616,Medium,3,Satisfied
708514383,55,46-60,Female,4,Uneducated,Married,FL,91750,no,yes,no,cellular,White-collar,57484,Medium,2,Neutral
708515358,45,36-45,Female,4,High School,Married,TX,91750,no,yes,no,cellular,Businessman,53906,Medium,2,Neutral
708516558,42,36-45,Female,4,Graduate,Married,TX,91750,no,yes,no,cellular,Blue-collar,52148,Medium,3,Satisfied
708519108,47,46-60,Female,2,Unknown,Single,CA,91750,yes,yes,no,unknown,Businessman,20597,Low,2,Neutral
708522033,36,36-45,Female,1,Uneducated,Single,CA,91701,no,yes,no,cellular,Businessman,198343,High,3,Satisfied
708525108,34,26-35,Male,3,High School,Married,FL,91750,no,no,no,cellular,Govt,50792,Medium,2,Neutral
708528483,44,36-45,Female,2,Graduate,Unknown,FL,91750,no,no,no,cellular,Blue-collar,13010,Low,2,Neutral
708532308,40,36-45,Female,3,Unknown,Married,CA,91750,yes,yes,no,cellular,Govt,34149,Medium,2,Neutral
708534033,58,46-60,Male,1,Unknown,Married,NJ,91750,no,yes,yes,cellular,Blue-collar,75578,High,2,Neutral
708535158,33,26-35,Male,1,Graduate,Single,IA,91750,no,no,no,telephone,White-collar,114717,High,3,Satisfied
708536283,36,36-45,Female,2,Graduate,Single,NY,91750,no,no,no,cellular,Govt,31226,Medium,2,Neutral
708538608,50,46-60,Female,2,Uneducated,Married,NJ,91750,no,no,yes,telephone,Retirees,48968,Medium,3,Satisfied
708539583,51,46-60,Female,1,Post-Graduate,Single,NY,91750,no,yes,no,cellular,Govt,46675,Medium,3,Satisfied
708542283,38,36-45,Male,1,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,60253,Medium,2,Neutral
708543258,55,46-60,Female,2,Doctorate,Single,CA,91750,yes,yes,no,cellular,Businessman,20631,Low,2,Neutral
708545058,59,46-60,Male,0,High School,Single,NY,91750,yes,no,no,cellular,Govt,94345,High,2,Neutral
708549033,45,36-45,Male,4,High School,Married,CA,91750,no,no,no,unknown,Retirees,90458,High,2,Neutral
708551508,41,36-45,Male,3,Uneducated,Married,CA,91750,no,no,no,cellular,Selfemployeed,87971,High,2,Neutral
708553008,49,46-60,Male,4,Doctorate,Married,NJ,91750,yes,no,no,cellular,Govt,74928,High,1,Unsatisfied
708555633,51,46-60,Male,3,Uneducated,Married,CA,90025,no,no,no,unknown,Businessman,203890,High,2,Neutral
708557358,44,36-45,Female,4,Graduate,Single,NY,91750,no,no,yes,cellular,Businessman,18357,Low,2,Neutral
708558408,48,46-60,Male,3,Unknown,Married,NY,91750,no,no,no,cellular,Selfemployeed,41925,Medium,3,Satisfied
708559533,43,36-45,Male,1,High School,Married,TX,91750,yes,no,yes,cellular,Businessman,62768,Medium,2,Neutral
708560733,37,36-45,Male,3,High School,Single,CA,91750,no,yes,no,cellular,Govt,75192,High,3,Satisfied
708563433,40,36-45,Female,2,Uneducated,Married,FL,91750,no,no,no,unknown,Selfemployeed,14975,Low,3,Satisfied
708564858,54,46-60,Male,2,Unknown,Married,FL,91750,no,yes,no,unknown,White-collar,118629,High,1,Unsatisfied
708568983,53,46-60,Male,3,Unknown,Married,FL,91750,no,yes,no,cellular,Govt,111225,High,3,Satisfied
708572658,51,46-60,Female,3,Graduate,Married,CA,90250,yes,no,no,cellular,Businessman,196200,High,1,Unsatisfied
708573933,50,46-60,Female,3,Post-Graduate,Single,IL,91750,yes,yes,no,cellular,Businessman,183118,High,2,Neutral
